sAMAccountName,password,ou,Department,UserPrincipalName,GivenName,initials,Surname,sn,Displayname,Office,OfficePhone,Email,StreetAddress,City,State,PostalCode,Country,Title,Company
Ebony.Kelly,socimp123!,"OU=PR,OU=SOCIMP Users,DC=socimp,DC=local",PR,Ebony.Kelly@socimp.com,Ebony,B,Kelly,Ebony Kelly,Ebony Kelly,PR Office,580-305-2429,Ebony.Kelly@socimp.com,,Tulsa,HN,10000,VN,PR Specialist,SOC in my Pocket
Karen.Spies,socimp123!,"OU=PR,OU=SOCIMP Users,DC=socimp,DC=local",PR,Karen.Spies@socimp.com,Karen,J,Spies,Karen Spies,Karen Spies,PR Office,715-787-6608,Karen.Spies@socimp.com,450 Tea Berry Lane,Gresham,HN,10000,VN,PR Staff,SOC in my Pocket
Robert.Slade,socimp123!,"OU=PR,OU=SOCIMP Users,DC=socimp,DC=local",PR,Robert.Slade@socimp.com,Robert,L,Slade,Robert Slade,Robert Slade,PR Office,812-472-0040,Robert.Slade@socimp.com,2404 Lucy Lane,Fredericksburg,HN,10000,VN,PR Staff,SOC in my Pocket
Adam.Anderson,socimp123!,"OU=PR,OU=SOCIMP Users,DC=socimp,DC=local",PR,Adam.Anderson@socimp.com,Adam,A,Anderson,Adam Anderson,Adam Anderson,PR Office,781-847-9355,Adam.Anderson@socimp.com,678 Hillcrest Avenue,Boston,HN,10000,VN,PR Staff,SOC in my Pocket
Debbie.Alexander,socimp123!,"OU=PR,OU=SOCIMP Users,DC=socimp,DC=local",PR,Debbie.Alexander@socimp.com,Debbie,K,Alexander,Debbie Alexander,Debbie Alexander,PR Office,712-279-0390,Debbie.Alexander@socimp.com,2360 Woodland Drive,Sioux City,HN,10000,VN,PR Staff,SOC in my Pocket
Aimee.Delk,iloveyou123,"OU=PR,OU=SOCIMP Users,DC=socimp,DC=local",PR,Aimee.Delk@socimp.com,Aimee,P,Delk,Aimee Delk,Aimee Delk,PR Office,720-621-1477,Aimee.Delk@socimp.com,3600 Clay Lick Road,Denver,HN,10000,VN,PR Staff,SOC in my Pocket
Edward.Gordon,socimp123!,"OU=PR,OU=SOCIMP Users,DC=socimp,DC=local",PR,Edward.Gordon@socimp.com,Edward,A,Gordon,Edward Gordon,Edward Gordon,PR Office,937-848-5461,Edward.Gordon@socimp.com,760 Crim Lane,Bellbrook,HN,10000,VN,PR Staff,SOC in my Pocket
Joe.Sims,socimp123!,"OU=PR,OU=SOCIMP Users,DC=socimp,DC=local",PR,Joe.Sims@socimp.com,Joe,B,Sims,Joe Sims,Joe Sims,PR Office,317-554-4675,Joe.Sims@socimp.com,4793 Barfield Lane,Indianapolis,HN,10000,VN,PR Staff,SOC in my Pocket
John.Teague,socimp123!,"OU=PR,OU=SOCIMP Users,DC=socimp,DC=local",PR,John.Teague@socimp.com,John,S,Teague,John Teague,John Teague,PR Office,660-287-1168,John.Teague@socimp.com,2853 Fairmont Avenue,Kansas City,HN,10000,VN,PR Staff,SOC in my Pocket
Ramona.Quintana,socimp123!,"OU=PR,OU=SOCIMP Users,DC=socimp,DC=local",PR,Ramona.Quintana@socimp.com,Ramona,R,Quintana,Ramona Quintana,Ramona Quintana,PR Office,810-610-4129,Ramona.Quintana@socimp.com,4070 Perry Street,Detroit,HN,10000,VN,PR Staff,SOC in my Pocket
Sheree.Ervin,socimp123!,"OU=Operations,OU=SOCIMP Users,DC=socimp,DC=local",Operations,Sheree.Ervin@socimp.com,Sheree,B,Ervin,Sheree Ervin,Sheree Ervin,Operations Office,916-278-3566,Sheree.Ervin@socimp.com, ,Sacramento,HN,10000,VN,Operations Staff,SOC in my Pocket
Javier.Johnson,socimp123!,"OU=Operations,OU=SOCIMP Users,DC=socimp,DC=local",Operations,Javier.Johnson@socimp.com,Javier,P,Johnson,Javier Johnson,Javier Johnson,Operations Office,502-319-2599,Javier.Johnson@socimp.com,2705 Radford Street,Louisville,HN,10000,VN,Operations Staff,SOC in my Pocket
James.Morgan,socimp123!,"OU=Operations,OU=SOCIMP Users,DC=socimp,DC=local",Operations,James.Morgan@socimp.com,James,M,Morgan,James Morgan,James Morgan,Operations Office,805-383-2791,James.Morgan@socimp.com,2196 Diane Street,Camarillo,HN,10000,VN,Operations Staff,SOC in my Pocket
Danilo.Spell,socimp123!,"OU=Operations,OU=SOCIMP Users,DC=socimp,DC=local",Operations,Danilo.Spell@socimp.com,Danilo,J,Spell,Danilo Spell,Danilo Spell,Operations Office,865-224-6520,Danilo.Spell@socimp.com,2160 Brown Avenue,Harriman,HN,10000,VN,Operations Staff,SOC in my Pocket
Judy.Holloman,socimp123!,"OU=Operations,OU=SOCIMP Users,DC=socimp,DC=local",Operations,Judy.Holloman@socimp.com,Judy,R,Holloman,Judy Holloman,Judy Holloman,Operations Office,412-366-8228,Judy.Holloman@socimp.com,2576 Jacobs Street,Pittsburgh,HN,10000,VN,Operations Staff,SOC in my Pocket
Susan.Newman,socimp123!,"OU=Operations,OU=SOCIMP Users,DC=socimp,DC=local",Operations,Susan.Newman@socimp.com,Susan,S,Newman,Susan Newman,Susan Newman,Operations Office,845-747-9580,Susan.Newman@socimp.com,3098 Old Dear Lane,Poughkeepsie,HN,10000,VN,Operations Staff,SOC in my Pocket
Pauline.Beal,iloveyou123,"OU=Operations,OU=SOCIMP Users,DC=socimp,DC=local",Operations,Pauline.Beal@socimp.com,Pauline,B,Beal,Pauline Beal,Pauline Beal,Operations Office,201-515-1857,Pauline.Beal@socimp.com,3812 Walnut Avenue,Piscataway,HN,10000,VN,Operations Staff,SOC in my Pocket
George.Puffer,socimp123!,"OU=Operations,OU=SOCIMP Users,DC=socimp,DC=local",Operations,George.Puffer@socimp.com,George,C,Puffer,George Puffer,George Puffer,Operations Office,334-399-9633,George.Puffer@socimp.com,748 Fleming Street,Montgomery,HN,10000,VN,Operations Staff,SOC in my Pocket
April.Minton,socimp123!,"OU=Operations,OU=SOCIMP Users,DC=socimp,DC=local",Operations,April.Minton@socimp.com,April,S,Minton,April Minton,April Minton,Operations Office,305-258-2745,April.Minton@socimp.com,4279 Agriculture Lane,Homestead,HN,10000,VN,Operations Staff,SOC in my Pocket
Orlando.Barga,socimp123!,"OU=Operations,OU=SOCIMP Users,DC=socimp,DC=local",Operations,Orlando.Barga@socimp.com,Orlando,T,Barga,Orlando Barga,Orlando Barga,Operations Office,315-874-7845,Orlando.Barga@socimp.com,1956 Saint Marys Avenue,Syracuse,HN,10000,VN,Operations Staff,SOC in my Pocket
Leslie.Snyder,socimp123!,"OU=Legal,OU=SOCIMP Users,DC=socimp,DC=local",Legal,Leslie.Snyder@socimp.com,Leslie,D,Snyder,Leslie Snyder,Leslie Snyder,Legal Office,330-832-6166,Leslie.Snyder@socimp.com,3521 Rivendell Drive,Massillon,HN,10000,VN,Legal Specialist,SOC in my Pocket
Guillermo.Hornberger,socimp123!,"OU=Legal,OU=SOCIMP Users,DC=socimp,DC=local",Legal,Guillermo.Hornberger@socimp.com,Guillermo,M,Hornberger,Guillermo Hornberger,Guillermo Hornberger,Legal Office,802-779-5699,Guillermo.Hornberger@socimp.com,3679 Hardman Road,Brattleboro,HN,10000,VN,Legal Staff,SOC in my Pocket
Harold.Combs,socimp123!,"OU=Legal,OU=SOCIMP Users,DC=socimp,DC=local",Legal,Harold.Combs@socimp.com,Harold,C,Combs,Harold Combs,Harold Combs,Legal Office,847-586-0147,Harold.Combs@socimp.com,4407 Vine Street,Arlington Heights,HN,10000,VN,Legal Staff,SOC in my Pocket
James.Andrews,socimp123!,"OU=Legal,OU=SOCIMP Users,DC=socimp,DC=local",Legal,James.Andrews@socimp.com,James,L,Andrews,James Andrews,James Andrews,Legal Office,727-592-1749,James.Andrews@socimp.com,2481 Maryland Avenue,Feather Sound,HN,10000,VN,Legal Staff,SOC in my Pocket
Johnny.Cruz,socimp123!,"OU=Legal,OU=SOCIMP Users,DC=socimp,DC=local",Legal,Johnny.Cruz@socimp.com,Johnny,S,Cruz,Johnny Cruz,Johnny Cruz,Legal Office,717-658-1535,Johnny.Cruz@socimp.com,3 Lincoln Drive,Chambersburg,HN,10000,VN,Legal Staff,SOC in my Pocket
Steven.Knight,socimp123!,"OU=Legal,OU=SOCIMP Users,DC=socimp,DC=local",Legal,Steven.Knight@socimp.com,Steven,A,Knight,Steven Knight,Steven Knight,Legal Office,856-243-5626,Steven.Knight@socimp.com,4349 American Drive,Camden,HN,10000,VN,Legal Staff,SOC in my Pocket
Jack.Jones,socimp123!,"OU=Legal,OU=SOCIMP Users,DC=socimp,DC=local",Legal,Jack.Jones@socimp.com,Jack,M,Jones,Jack Jones,Jack Jones,Legal Office,720-878-8430,Jack.Jones@socimp.com,259 Leo Street,Denver,HN,10000,VN,Legal Staff,SOC in my Pocket
Robert.Maag,iloveyou123,"OU=Legal,OU=SOCIMP Users,DC=socimp,DC=local",Legal,Robert.Maag@socimp.com,Robert,E,Maag,Robert Maag,Robert Maag,Legal Office,402-269-7013,Robert.Maag@socimp.com,292 Crummit Lane,Syracuse,HN,10000,VN,Legal Staff,SOC in my Pocket
